Test Number, ShadersTotal, FPS, GPU Usage
1, 25, 228, 5.541801
2, 64, 241, 3.185272
3, 121, 295, 5.1651
4, 196, 253, 4.123688
5, 289, 164, 7.026672
6, 400, 116, 13.19885
7, 529, 90, 17.53235
8, 676, 72, 13.51929
9, 841, 64, 24.7345
10, 1024, 51, 21.78192
11, 1225, 58, 2.7771
12, 1444, 40, 92.11731
13, 1681, 117, 3.364563
14, 1936, 87, 3.837585
15, 2209, 40, 4.417419
