Test Number, ShadersTotal, FPS, GPU Usage
1, 25, 224, 4.78363
2, 64, 298, 3.077507
3, 121, 282, 4.415512
4, 196, 247, 4.383087
5, 289, 164, 6.759644
6, 400, 109, 9.124756
7, 529, 80, 14.56451
8, 676, 70, 16.44897
9, 841, 59, 19.73724
10, 1024, 55, 74.98932
11, 1225, 45, 31.15845
12, 1444, 44, 3.944397
13, 1681, 41, 5.699158
14, 1936, 36, 3.845215
15, 2209, 37, 4.78363
